time,team,site,odds
2020-12-28 21:32:13.828057,Seattle Seahawks,bovada,1.44
2020-12-28 21:32:13.828059,Carolina Panthers,betonlineag,3.4
2020-12-28 21:32:13.828061,Carolina Panthers,lowvig,3.4
2020-12-28 21:32:13.828062,Carolina Panthers,williamhill_us,3.45
2020-12-28 21:32:13.828064,Carolina Panthers,fanduel,3.4
2020-12-28 21:32:13.828065,Carolina Panthers,unibet,3.4
2020-12-28 21:32:13.828067,Carolina Panthers,betrivers,3.4
2020-12-28 21:32:13.828068,Carolina Panthers,sugarhouse,3.4
2020-12-28 21:32:13.828069,Carolina Panthers,draftkings,3.4
2020-12-28 21:32:13.828071,Carolina Panthers,betmgm,3.25
2020-12-28 21:32:13.828072,Carolina Panthers,betfair,3.45
2020-12-28 21:32:13.828074,Carolina Panthers,bovada,3.3
2020-12-28 21:32:13.828075,Carolina Panthers,pointsbetus,3.3
2020-12-28 21:32:13.828076,Carolina Panthers,bookmaker,3.37
2020-12-28 21:32:13.828078,Carolina Panthers,gtbets,3.5
2020-12-28 21:32:13.828082,New Orleans Saints,betonlineag,1.35
2020-12-28 21:32:13.828084,New Orleans Saints,lowvig,1.35
2020-12-28 21:32:13.828086,New Orleans Saints,williamhill_us,1.34
2020-12-28 21:32:13.828090,New Orleans Saints,fanduel,1.34
2020-12-28 21:32:13.828091,New Orleans Saints,unibet,1.33
2020-12-28 21:32:13.828093,New Orleans Saints,betrivers,1.33
2020-12-28 21:32:13.828094,New Orleans Saints,sugarhouse,1.33
2020-12-28 21:32:13.828096,New Orleans Saints,draftkings,1.33
2020-12-28 21:32:13.828097,New Orleans Saints,betmgm,1.36
2020-12-28 21:32:13.828099,New Orleans Saints,betfair,1.35
2020-12-28 21:32:13.828100,New Orleans Saints,bovada,1.36
2020-12-28 21:32:13.828101,New Orleans Saints,pointsbetus,1.34
2020-12-28 21:32:13.828103,New Orleans Saints,bookmaker,1.34
2020-12-28 21:32:13.828104,New Orleans Saints,gtbets,1.33
2020-12-28 21:32:13.828106,Denver Broncos,betonlineag,2.2
2020-12-28 21:32:13.828108,Denver Broncos,lowvig,2.2
2020-12-28 21:32:13.828112,Denver Broncos,fanduel,2.16
2020-12-28 21:32:13.828113,Denver Broncos,williamhill_us,2.2
2020-12-28 21:32:13.828115,Denver Broncos,bookmaker,2.3
2020-12-28 21:32:13.828116,Denver Broncos,pointsbetus,2.2
2020-12-28 21:32:13.828118,Denver Broncos,betrivers,2.17
2020-12-28 21:32:13.828119,Denver Broncos,unibet,2.17
2020-12-28 21:32:13.828120,Denver Broncos,sugarhouse,2.17
2020-12-28 21:32:13.828122,Denver Broncos,draftkings,2.17
2020-12-28 21:32:13.828125,Denver Broncos,betmgm,2.1
2020-12-28 21:32:13.828127,Denver Broncos,gtbets,2.2
2020-12-28 21:32:13.828128,Denver Broncos,bovada,2.25
2020-12-28 21:32:13.828130,Denver Broncos,betfair,2.2
2020-12-28 21:32:13.828131,Las Vegas Raiders,betonlineag,1.71
2020-12-28 21:32:13.828133,Las Vegas Raiders,lowvig,1.71
2020-12-28 21:32:13.828134,Las Vegas Raiders,fanduel,1.74
2020-12-28 21:32:13.828136,Las Vegas Raiders,williamhill_us,1.71
2020-12-28 21:32:13.828137,Las Vegas Raiders,bookmaker,1.67
2020-12-28 21:32:13.828139,Las Vegas Raiders,pointsbetus,1.71
2020-12-28 21:32:13.828140,Las Vegas Raiders,betrivers,1.7
2020-12-28 21:32:13.828141,Las Vegas Raiders,unibet,1.7
2020-12-28 21:32:13.828143,Las Vegas Raiders,sugarhouse,1.7
2020-12-28 21:32:13.828144,Las Vegas Raiders,draftkings,1.7
2020-12-28 21:32:13.828146,Las Vegas Raiders,betmgm,1.77
2020-12-28 21:32:13.828147,Las Vegas Raiders,gtbets,1.71
2020-12-28 21:32:13.828148,Las Vegas Raiders,bovada,1.69
2020-12-28 21:32:13.828150,Las Vegas Raiders,betfair,1.77
2020-12-28 21:32:13.828152,Chicago Bears,betfair,3.05
2020-12-28 21:32:13.828153,Chicago Bears,pointsbetus,2.95
2020-12-28 21:32:13.828155,Chicago Bears,lowvig,3.15
2020-12-28 21:32:13.828156,Chicago Bears,betonlineag,3.15
2020-12-28 21:32:13.828158,Chicago Bears,sugarhouse,3.0
2020-12-28 21:32:13.828159,Chicago Bears,draftkings,3.0
2020-12-28 21:32:13.828164,Chicago Bears,betrivers,3.0
2020-12-28 21:32:13.828165,Chicago Bears,bookmaker,2.99
2020-12-28 21:32:13.828166,Chicago Bears,unibet,3.0
2020-12-28 21:32:13.828168,Chicago Bears,gtbets,3.1
2020-12-28 21:32:13.828169,Chicago Bears,bovada,3.2
2020-12-28 21:32:13.828171,Chicago Bears,fanduel,3.2
2020-12-28 21:32:13.828172,Chicago Bears,williamhill_us,3.05
2020-12-28 21:32:13.828173,Chicago Bears,betmgm,2.9
2020-12-28 21:32:13.828175,Green Bay Packers,betfair,1.42
2020-12-28 21:32:13.828176,Green Bay Packers,pointsbetus,1.41
2020-12-28 21:32:13.828178,Green Bay Packers,lowvig,1.39
2020-12-28 21:32:13.828179,Green Bay Packers,betonlineag,1.39
2020-12-28 21:32:13.828181,Green Bay Packers,sugarhouse,1.41
2020-12-28 21:32:13.828182,Green Bay Packers,draftkings,1.41
2020-12-28 21:32:13.828183,Green Bay Packers,betrivers,1.41
2020-12-28 21:32:13.828185,Green Bay Packers,bookmaker,1.42
2020-12-28 21:32:13.828186,Green Bay Packers,unibet,1.41
2020-12-28 21:32:13.828188,Green Bay Packers,gtbets,1.4
2020-12-28 21:32:13.828189,Green Bay Packers,bovada,1.37
2020-12-28 21:32:13.828190,Green Bay Packers,fanduel,1.37
2020-12-28 21:32:13.828192,Green Bay Packers,williamhill_us,1.41
2020-12-28 21:32:13.828193,Green Bay Packers,betmgm,1.44
2020-12-28 21:32:13.828195,Arizona Cardinals,betfair,1.79
2020-12-28 21:32:13.828197,Arizona Cardinals,fanduel,1.98
2020-12-28 21:32:13.828203,Arizona Cardinals,sugarhouse,2.0
2020-12-28 21:32:13.828205,Arizona Cardinals,betrivers,2.0
2020-12-28 21:32:13.828206,Arizona Cardinals,unibet,2.0
2020-12-28 21:32:13.828208,Arizona Cardinals,draftkings,2.0
2020-12-28 21:32:13.828209,Los Angeles Rams,betfair,1.94
2020-12-28 21:32:13.828211,Los Angeles Rams,fanduel,1.86
2020-12-28 21:32:13.828212,Los Angeles Rams,sugarhouse,1.83
2020-12-28 21:32:13.828214,Los Angeles Rams,betrivers,1.83
2020-12-28 21:32:13.828215,Los Angeles Rams,unibet,1.83
